,ratio,roi,value
0,1,IOG,0.5869016321345918
1,1,IOG,0.9017159472641318
2,1,IOG,0.2891288239744653
3,1,IOG,0.6411985205797263
4,1,IOG,2.1179762615391695
5,1,IOG,0.6081586431762188
6,1,IOG,1.1902217265802864
7,1,IOG,1.0048524300418311
8,1,IOG,0.02127906087927265
9,1,IOG,0.508353799467388
10,1,IOG,0.6486715789523725
11,1,IOG,0.11045356163302039
12,1,IOG,0.5416928439455597
13,1,IOG,0.5260715024940877
14,1,IOG,1.4942957123282015
15,1,IOG,0.07182999727780853
16,1,IOG,0.3407427771997459
17,1,IOG,0.5401197807292231
18,1,IOG,0.5407408340918813
19,1,IOG,0.9192551535541832
20,1,IOG,0.33395523891814705
21,1,IOG,0.32677206101683254
22,1,IOG,1.7284607316338803
23,1,IOG,0.31749688582128477
24,1,IOG,0.51789547921191
25,1,IOG,0.8683295680542129
26,1,IOG,1.38718354234049
27,1,IOG,0.7685944988109967
28,1,IOG,0.18489179984639417
29,1,IOG,0.577525898417461
30,1,IOG,1.6432331675277076
31,1,IOG,0.5348164419562583
32,1,IOG,0.4444224855103532
33,1,IOG,0.737864456011061
34,1,IOG,1.1297659551900576
35,1,IOG,0.15781320450803413
36,1,IOG,1.416932679964424
37,1,IOG,0.4050468838867816
38,1,IOG,0.21385407661561534
39,1,IOG,0.6623119496790963
40,1,IOG,0.42720168326876473
41,1,IOG,0.6495871428248049
42,1,IOG,1.3414149997100968
43,1,IOG,0.11765831920914079
44,1,IOG,0.3611609155407027
45,1,IOG,0.3911366011371787
46,1,IOG,0.5069160063602709
47,1,IOG,0.6885862179180302
48,1,IOG,0.4166325679148582
49,1,IOG,0.2594260166842353
50,1,IOG,2.0256009798218098
51,1,IOG,1.6649284234455413
52,1,IOG,0.7016997473152041
53,1,IOG,1.6195870813043476
54,1,IOG,0.6042716363373677
55,1,IOG,1.3975109330858932
56,1,IOG,0.34816737990306035
57,1,IOG,0.3883071442205277
58,1,IOG,0.1688604610329572
59,1,IOG,0.5188339954168737
60,1,IOG,0.5229686189246062
61,1,IOG,0.8638124193369264
62,1,IOG,0.5118169611550687
63,1,IOG,0.4852413039279824
64,1,IOG,0.31950700961914846
65,1,IOG,0.858146568063584
66,1,IOG,1.0902187260468084
67,1,IOG,0.5115839844034661
68,1,IOG,1.169260449867926
69,1,IOG,0.6612410074598046
70,1,IOG,0.5028391152478324
71,1,IOG,0.5888470233929823
72,1,IOG,0.8543395232666937
73,1,IOG,0.629687351415227
74,1,IOG,0.4578288223127103
75,1,IOG,0.13541369999348637
76,1,IOG,0.6665379202869601
77,1,IOG,0.641469445793268
78,1,IOG,0.2281915837246394
79,1,IOG,1.2364197104805728
80,1,IOG,0.7049419051312371
81,1,IOG,0.6217324766567172
82,1,IOG,0.0335806212035097
83,1,IOG,0.3771432783879034
84,1,IOG,0.466064372768463
85,1,IOG,0.9291519267296239
86,1,IOG,0.22868596420009915
87,1,IOG,0.3875478630793329
88,1,IOG,0.15679387764612399
89,1,IOG,0.5209530125952
90,1,IOG,2.122166516828776
91,1,IOG,0.3162199706199732
92,1,IOG,0.1415809627217909
93,1,IOG,0.5837360433537371
94,1,IOG,0.39574452373508606
95,1,IOG,1.1746065914022523
96,1,IOG,0.08006990928717045
97,1,IOG,0.5241752562742025
98,1,IOG,0.2620275226943951
99,1,IOG,0.5845499518895725
100,2,IOG,0.7936989880673386
101,2,IOG,0.442162182582537
102,2,IOG,0.07793584955936665
103,2,IOG,0.6488085879837986
104,2,IOG,0.09995499733341884
105,2,IOG,0.8045735449670304
106,2,IOG,0.4991943290985384
107,2,IOG,1.0211338698781165
108,2,IOG,0.9203383830484811
109,2,IOG,0.6289560166397515
110,2,IOG,0.04521848021375548
111,2,IOG,0.44308247718393623
112,2,IOG,0.2853673211991417
113,2,IOG,0.714605734835039
114,2,IOG,0.09896124379084761
115,2,IOG,0.3195295210968034
116,2,IOG,0.5306760948017802
117,2,IOG,0.77183336755809
118,2,IOG,0.5540215974608742
119,2,IOG,0.12900538199323508
120,2,IOG,0.53525526401216
121,2,IOG,0.07276008215065877
122,2,IOG,0.9060707078442154
123,2,IOG,0.44832855128411425
124,2,IOG,0.1828260718080748
125,2,IOG,0.012876949129142196
126,2,IOG,0.3926240142708524
127,2,IOG,0.978254613212457
128,2,IOG,0.29363569814608825
129,2,IOG,0.14396846139373942
130,2,IOG,0.44345522940173615
131,2,IOG,0.040064317916855434
132,2,IOG,0.11032277807270041
133,2,IOG,0.17934338918072662
134,2,IOG,0.7174871567979177
135,2,IOG,0.27096685912216606
136,2,IOG,0.20907296667281705
137,2,IOG,0.5709770871839109
138,2,IOG,0.32395887827001196
139,2,IOG,0.7403974900438534
140,2,IOG,0.3914821559014126
141,2,IOG,0.5709349270240078
142,2,IOG,0.9856365940792906
143,2,IOG,0.718300376649325
144,2,IOG,0.4496314972893213
145,2,IOG,0.1384482695052998
146,2,IOG,0.41054507853233274
147,2,IOG,0.17157567670555865
148,2,IOG,0.4557757016757268
149,2,IOG,0.24084345265745075
150,2,IOG,0.4417523149308079
151,2,IOG,0.24526118647508247
152,2,IOG,0.14504788980357863
153,2,IOG,0.8332017565674472
154,2,IOG,1.204269969492753
155,2,IOG,0.05581186306552109
156,2,IOG,0.9551764243292789
157,2,IOG,0.5063417325969086
158,2,IOG,0.21354370709605153
159,2,IOG,0.06550690537910027
160,2,IOG,1.590670114926692
161,2,IOG,0.3243954217896757
162,2,IOG,0.36878046734517245
163,2,IOG,0.5644746892130018
164,2,IOG,0.02710421869926542
165,2,IOG,0.715558516887234
166,2,IOG,0.804953070208589
167,2,IOG,0.6122468913092247
168,2,IOG,0.24236749323081394
169,2,IOG,0.5040912868639343
170,2,IOG,0.13575777316839696
171,2,IOG,0.685390495816512
172,2,IOG,0.808190064041965
173,2,IOG,0.05661266408453346
174,2,IOG,0.5731224128567616
175,2,IOG,1.103410573605101
176,2,IOG,0.56848812142797
177,2,IOG,0.07103578025227983
178,2,IOG,0.6177928677057889
179,2,IOG,0.45964467707947837
180,2,IOG,0.6458128369730363
181,2,IOG,0.755734339487241
182,2,IOG,0.03484409290161544
183,2,IOG,0.07045624951404753
184,2,IOG,0.16303337453361666
185,2,IOG,0.22196400461324836
186,2,IOG,0.7099103794577375
187,2,IOG,0.10457869948744805
188,2,IOG,0.2986928576901448
189,2,IOG,0.9597466237551091
190,2,IOG,0.580899486708049
191,2,IOG,0.7331669114554282
