ratio,roi,rf_increase,value,lo,hi
1,IOG,0,0.5986271644977286,0.5368636992341843,0.7111553531228741
1,IOG,0.1,0.5187765200479897,0.4408402449804025,0.6133439044207919
1,IOG,0.2,0.45743091133888036,0.3758209893368314,0.5330548554850048
1,IOG,0.3,0.33788735375119955,0.2803179730533002,0.38674413038277344
1,IOG,0.4,0.2930917215275418,0.2625906724311388,0.32414704390336774
1,IOG,0.5,0.23764640307725526,0.1984018156624521,0.27708517514528885
1,mFus,0,0.1390306453295116,0.12180315528627159,0.16602809103957775
1,mFus,0.1,0.11362702250243761,0.09045687429849916,0.1293989094321915
1,mFus,0.2,0.0907345526980591,0.07961294680965131,0.10689983074837761
1,mFus,0.3,0.07800144765118225,0.06275156065924202,0.08868115070984493
1,mFus,0.4,0.06041282139011682,0.053704872863369925,0.067806357377419
1,mFus,0.5,0.05110706128499792,0.04645734020758023,0.06011218717923558
1,pFus,0,0.2473031987183,0.2141316806548125,0.2987025536582593
1,pFus,0.1,0.20364163760693432,0.18054887715516246,0.2231198545516371
1,pFus,0.2,0.15875086116597797,0.14183598815577553,0.19321531673294332
1,pFus,0.3,0.1317879233200857,0.10940570962272007,0.15255454021156212
1,pFus,0.4,0.10907646926371745,0.09269786994285074,0.1256911160710541
1,pFus,0.5,0.09013351798752672,0.07721108105321209,0.10095568314503353
2,IOG,0,0.33269630651119725,0.292255966038571,0.3748314508807837
2,IOG,0.1,0.26179999414882127,0.22414637253438652,0.3141210302591562
2,IOG,0.2,0.19740864047099352,0.17234429731370532,0.2545154505300219
2,IOG,0.3,0.144895616079313,0.13336175226934255,0.17051289819868787
2,IOG,0.4,0.1298650115033444,0.10925822063493863,0.1494022209543775
2,IOG,0.5,0.09882332328084818,0.0887226725449174,0.11708078922989117
2,mFus,0,0.07196381250177522,0.06247746415740253,0.08132210874665177
2,mFus,0.1,0.06381211433809655,0.05565390108643439,0.0710686486268909
2,mFus,0.2,0.05162651842787938,0.045945366969894576,0.05808740627924912
2,mFus,0.3,0.037972713365665114,0.0344499974378416,0.04223175882497994
2,mFus,0.4,0.03419487506877357,0.030595033375127905,0.03774646502563741
2,mFus,0.5,0.027990048862502726,0.02488626823811428,0.031738887168974154
2,pFus,0,0.131387268792167,0.11869846918483774,0.14865519675979583
2,pFus,0.1,0.09594066008118773,0.08579416861459051,0.1150135454423824
2,pFus,0.2,0.08158703859925145,0.07023335907738305,0.09402212722578504
2,pFus,0.3,0.05938767774228816,0.05325816976632647,0.06479147191214704
2,pFus,0.4,0.05029680769945931,0.046257927246196644,0.05674863946629887
2,pFus,0.5,0.04194106666813972,0.039411839089489434,0.047319390679981234
3,IOG,0,0.21230451911467,0.18289407125811333,0.24554735825960738
3,IOG,0.1,0.15394950078579828,0.13358179615665447,0.17674104723643377
3,IOG,0.2,0.11699967776045725,0.09963601518115076,0.1333271660062892
3,IOG,0.3,0.09156474935146827,0.08077848088283446,0.10710580677129818
3,IOG,0.4,0.07054734692419515,0.06285887537117238,0.0798180852586675
3,IOG,0.5,0.05979905367807794,0.054375505151209445,0.06380014281820497
3,mFus,0,0.05770864028584524,0.05204431274856018,0.06796145933136839
3,mFus,0.1,0.043844368464524594,0.03743983118744748,0.04774256002815301
3,mFus,0.2,0.03578820897001979,0.0321652054370467,0.03928003262081347
3,mFus,0.3,0.026656259754917845,0.023683904003982324,0.030998143921738906
3,mFus,0.4,0.02383559395981848,0.021903036466260233,0.026738347420949722
3,mFus,0.5,0.021903076628037827,0.01993413920003327,0.025487149559006467
3,pFus,0,0.09455597249694786,0.0844353721891068,0.1033136414138808
3,pFus,0.1,0.07162530578829147,0.06330957604874296,0.07933455005242011
3,pFus,0.2,0.053078462733936765,0.04613041228265601,0.06143072863591406
3,pFus,0.3,0.03944778654014976,0.03560558848402599,0.044307742185199346
3,pFus,0.4,0.03466894839334682,0.03267425673905804,0.03781367672322015
3,pFus,0.5,0.031211568155665708,0.02775959713086574,0.033559143673226814
4,IOG,0,0.1414994786232615,0.12157145684209174,0.16479368801905317
4,IOG,0.1,0.10678977775327317,0.09265063219942268,0.12301983641303144
4,IOG,0.2,0.07922145142077139,0.06886903294138248,0.08760140232204675
4,IOG,0.3,0.06524087059593706,0.058644941592003945,0.07430371442854806
4,IOG,0.4,0.05078498632985583,0.045314946307187465,0.05557685307943372
4,IOG,0.5,0.04254081882887405,0.037018893060995685,0.047379792331771836
4,mFus,0,0.04692398687109021,0.0428011155051811,0.05044903673759612
4,mFus,0.1,0.035282875954633676,0.0318005287324282,0.038587188885470206
4,mFus,0.2,0.027848786173052715,0.0241555792498909,0.03146336222744307
4,mFus,0.3,0.022992366812863478,0.021320976991106022,0.025054755298743916
4,mFus,0.4,0.02016591333563756,0.01824035978931655,0.021331154794863035
4,mFus,0.5,0.01548080491603889,0.01437339623293251,0.0172438450027258
4,pFus,0,0.06114315124380539,0.055825909682796056,0.07320015262140461
4,pFus,0.1,0.05201538745455422,0.046073949368949915,0.057380309412011686
4,pFus,0.2,0.037420073154976925,0.03260302668530021,0.04059862255258975
4,pFus,0.3,0.030012810503110374,0.026079669497710227,0.032877878925573485
4,pFus,0.4,0.025741098423243784,0.022430527285678827,0.028875576974171674
4,pFus,0.5,0.022123219944872905,0.020149439829375948,0.023977543715531173
