subject,session,morph_type,morph,pos,ecc,rt,response_identity,third_option
s01,1,ab,67,5,7,0.66785,b,0
s01,1,ab,33,5,7,0.90165,a,0
s01,1,bc,0,1,7,1.1854,b,0
s01,1,ab,100,3,7,0.63453,b,0
s01,1,bc,83,1,7,1.536,a,1
s01,1,ac,83,5,7,1.7698,b,1
s01,1,ab,33,3,7,2.0203,c,1
s01,1,bc,100,5,7,0.63446,c,0
s01,1,bc,0,3,7,0.56768,b,0
s01,1,bc,100,1,7,0.95173,c,0
s01,1,ab,50,3,7,0.95171,a,0
s01,1,ab,0,1,7,0.76803,a,0
s01,1,ac,33,1,7,0.63444,a,0
s01,1,ab,83,5,7,1.4693,c,1
s01,1,ab,83,1,7,0.63445,b,0
s01,1,bc,67,1,7,0.58441,b,0
s01,1,ab,83,7,7,2.0871,b,0
s01,1,bc,33,5,7,0.65117,c,0
s01,1,ab,100,3,7,0.65116,b,0
s01,1,ac,50,1,7,1.3691,c,0
s01,1,bc,100,7,7,0.9016,c,0
s01,1,ac,67,5,7,0.80145,c,0
s01,1,bc,33,7,7,0.83484,b,0
s01,1,ac,67,1,7,0.93499,c,0
s01,1,bc,0,3,7,0.63452,b,0
s01,1,bc,100,5,7,1.0019,c,0
s01,1,ab,50,7,7,0.65127,c,1
s01,1,bc,50,1,7,0.71798,b,0
s01,1,ab,33,5,7,0.75137,a,0
s01,1,ac,100,7,7,0.75144,c,0
s01,1,ac,0,3,7,1.1353,a,0
s01,1,ab,33,7,7,0.85145,a,0
s01,1,ac,50,3,7,1.0351,c,0
s01,1,bc,83,5,7,0.61777,c,0
s01,1,ac,100,3,7,1.152,b,1
s01,1,ac,50,5,7,0.91837,a,0
s01,1,ac,17,5,7,0.75141,a,0
s01,1,bc,50,3,7,0.66786,b,0
s01,1,ac,17,3,7,1.1521,a,0
s01,1,bc,67,3,7,1.8032,b,0
s01,1,bc,67,7,7,1.0685,c,0
s01,1,bc,83,7,7,0.66786,c,0
s01,1,bc,33,1,7,0.93503,b,0
s01,1,bc,17,7,7,0.75132,b,0
s01,1,ab,67,7,7,0.75136,b,0
s01,1,ab,0,7,7,0.76806,a,0
s01,1,ac,0,5,7,0.88491,a,0
s01,1,ab,50,5,7,0.58437,a,0
s01,1,ac,83,1,7,0.88486,b,1
s01,1,ab,0,5,7,2.2707,a,0
s01,1,ab,67,5,7,1.5862,a,0
s01,1,bc,0,7,7,0.85148,b,0
s01,1,ac,0,1,7,0.80143,a,0
s01,1,ab,100,1,7,2.3709,b,0
s01,1,bc,67,5,7,0.86821,c,0
s01,1,ab,33,3,7,1.1854,a,0
s01,1,ab,17,3,7,0.70127,a,0
s01,1,ab,17,5,7,0.80138,a,0
s01,1,ac,0,7,7,1.0685,a,0
s01,1,bc,83,3,7,0.81817,c,0
s01,1,bc,17,3,7,0.71792,b,0
s01,1,ac,67,7,7,0.75131,c,0
s01,1,bc,83,1,7,1.1855,c,0
s01,1,bc,0,5,7,0.71795,b,0
s01,1,ac,17,1,7,1.6529,a,0
s01,1,ac,50,7,7,0.93496,c,0
s01,1,ab,83,3,7,0.70124,b,0
s01,1,ac,100,5,7,0.935,c,0
s01,1,ab,67,3,7,0.70125,b,0
s01,1,ac,83,5,7,0.73471,c,0
s01,1,ac,67,3,7,1.0686,c,0
s01,1,bc,0,1,7,0.63447,b,0
s01,1,ab,0,3,7,1.1353,a,0
s01,1,ac,83,3,7,1.5194,c,0
s01,1,ac,33,7,7,1.5695,c,0
s01,1,bc,17,5,7,0.70126,c,0
s01,1,bc,50,7,7,0.96843,c,0
s01,1,ab,33,1,7,1.1186,a,0
s01,1,ab,100,7,7,0.61776,b,0
s01,1,ab,100,5,7,0.93495,c,1
s01,1,bc,33,3,7,2.2708,c,0
s01,1,bc,50,5,7,0.63449,c,0
s01,1,ab,17,7,7,0.7347,a,0
s01,1,ac,33,3,7,0.96839,a,0
s01,1,ab,50,1,7,0.80148,a,0
s01,1,ac,100,1,7,1.4359,a,0
s01,1,ac,83,7,7,0.63445,c,0
s01,1,ab,17,1,7,0.71797,c,1
s01,1,ac,33,5,7,0.71802,c,0
s01,1,bc,17,1,7,0.66814,b,0
s01,1,ab,67,1,7,1.0185,b,0
s01,1,bc,100,3,7,0.81812,c,0
s01,1,ac,17,7,7,1.0018,a,0
s01,1,bc,0,7,7,0.65117,b,0
s01,1,ac,100,1,7,0.91832,c,0
s01,1,bc,50,7,7,1.1354,c,0
s01,1,ac,17,5,7,0.71794,a,0
s01,1,bc,67,1,7,0.76803,b,0
s01,1,bc,33,3,7,1.1019,b,0
s01,1,bc,100,5,7,0.85151,c,0
s01,1,ab,100,3,7,1.3357,c,1
s01,1,ab,33,7,7,0.71799,a,0
s01,1,ac,83,3,7,0.7847,c,0
s01,1,ab,17,1,7,0.78479,a,0
s01,1,bc,17,5,7,0.65115,b,0
s01,1,ac,83,7,7,0.65119,c,0
s01,1,ac,83,1,7,1.0352,c,0
s01,1,bc,17,7,7,0.70125,b,0
s01,1,ab,0,1,7,1.0852,a,0
s01,1,ab,33,1,7,0.51751,a,0
s01,1,ac,0,3,7,0.61784,a,0
s01,1,ab,50,3,7,0.48424,a,0
s01,1,ab,67,1,7,2.7216,b,0
s01,1,bc,0,3,7,0.55092,b,0
s01,1,ab,67,7,7,0.91837,a,0
s01,1,ac,33,1,7,1.6867,c,0
s01,1,ab,67,3,7,1.9535,a,0
s01,1,ac,50,5,7,1.6028,c,0
s01,1,bc,17,3,7,0.65113,b,0
s01,1,bc,67,3,7,0.91826,b,0
s01,1,bc,100,3,7,2.0706,b,0
s01,1,ac,0,7,7,1.3691,c,0
s01,1,ab,83,7,7,1.4526,c,1
s01,1,ab,0,3,7,1.0685,a,0
s01,1,ac,0,1,7,0.63445,a,0
s01,1,ab,17,7,7,0.5343,a,0
s01,1,ab,50,5,7,0.76809,c,1
s01,1,bc,83,1,7,0.76808,c,0
s01,1,ac,50,1,7,0.71793,c,0
s01,1,ac,33,3,7,0.75136,a,0
s01,1,bc,33,1,7,0.96839,b,0
s01,1,bc,17,1,7,0.48419,b,0
s01,1,ab,33,3,7,2.1538,c,1
s01,1,ab,0,5,7,0.71801,a,0
s01,1,bc,33,7,7,0.7013,b,0
s01,1,ab,33,5,7,0.95169,a,0
s01,1,ac,0,5,7,0.55096,a,0
s01,1,bc,67,5,7,0.48418,a,1
s01,1,bc,100,1,7,1.2522,b,0
s01,1,ac,67,3,7,0.68455,c,0
s01,1,ac,33,5,7,1.0018,c,0
s01,1,ac,100,3,7,0.63451,c,0
s01,1,ab,50,7,7,0.93502,c,1
s01,1,ab,100,1,7,0.55099,b,0
s01,1,ab,50,1,7,0.68459,b,0
s01,1,bc,0,5,7,0.63449,b,0
s01,1,bc,33,5,7,0.68458,c,0
s01,1,bc,100,7,7,0.60099,c,0
s01,1,ab,67,5,7,0.81813,b,0
s01,1,bc,50,5,7,0.68452,b,0
s01,1,ab,17,5,7,1.0184,a,0
s01,1,bc,67,7,7,0.75134,c,0
s01,1,ac,67,1,7,0.68452,c,0
s01,1,ac,67,7,7,0.58439,c,0
s01,1,ac,100,7,7,0.45079,c,0
s01,1,bc,50,1,7,0.48427,b,0
s01,1,ac,67,5,7,0.68454,c,0
s01,1,bc,50,3,7,0.53426,b,0
s01,1,ac,50,7,7,0.61774,c,0
s01,1,bc,83,5,7,0.96831,c,0
s01,1,ab,83,5,7,0.70131,b,0
s01,1,ac,17,7,7,0.70127,c,0
s01,1,bc,0,1,7,0.73466,b,0
s01,1,bc,83,3,7,0.81812,b,0
s01,1,ab,83,1,7,0.61782,b,0
s01,1,ab,17,3,7,1.8199,c,1
s01,1,ab,100,7,7,1.0352,b,0
s01,1,ac,100,5,7,1.0519,c,0
s01,1,ab,100,5,7,0.885,b,0
s01,1,ac,17,3,7,1.3024,a,0
s01,1,ac,33,7,7,1.1688,c,0
s01,1,ac,17,1,7,0.91829,a,0
s01,1,bc,83,7,7,0.6846,c,0
s01,1,ab,0,7,7,0.70132,a,0
s01,1,ab,83,3,7,0.60107,b,0
s01,1,ac,50,3,7,0.73462,a,0
s01,1,ac,83,5,7,0.83479,c,0
s01,1,ab,0,7,7,0.95168,a,0
s01,1,ac,100,7,7,0.83483,c,0
s01,1,ab,33,7,7,0.60108,c,1
s01,1,ac,67,7,7,0.73465,c,0
s01,1,ac,0,5,7,1.5695,a,0
s01,1,ab,100,5,7,1.0018,b,0
s01,1,bc,33,7,7,1.8867,c,0
s01,1,ab,50,7,7,0.45084,c,1
s01,1,ac,17,1,7,1.6028,c,0
s01,1,ab,50,1,7,0.65121,c,1
s01,1,ab,100,1,7,1.3189,b,0
s01,1,ab,67,5,7,0.70131,b,0
s01,1,bc,33,1,7,0.45079,b,0
s01,1,ac,83,3,7,0.86814,c,0
s01,1,bc,33,5,7,0.58439,b,0
s01,1,ac,50,5,7,0.53428,b,1
s01,1,ab,83,1,7,0.50095,b,0
s01,1,ac,83,1,7,2.7048,a,0
s01,1,bc,83,5,7,1.6196,c,0
s01,1,bc,100,7,7,0.56763,c,0
s01,1,ac,0,7,7,0.86823,a,0
s01,1,ab,83,5,7,1.2188,c,1
s01,1,ac,17,3,7,0.6846,c,0
s01,1,ab,100,3,7,0.63444,b,0
s01,1,ac,67,1,7,1.2689,a,0
s01,1,ab,33,1,7,0.83483,a,0
s01,1,ab,67,1,7,0.63477,b,0
s01,1,ac,100,1,7,0.55096,b,1
s01,1,bc,67,3,7,0.53434,b,0
s01,1,ab,0,3,7,0.80138,a,0
s01,1,bc,67,7,7,0.61776,c,0
s01,1,ac,0,3,7,1.152,c,0
s01,1,ab,17,3,7,0.66781,a,0
s01,1,bc,0,5,7,0.51752,b,0
s01,1,ac,17,5,7,0.65115,a,0
s01,1,bc,50,3,7,0.71798,b,0
s01,1,ac,33,1,7,0.63444,a,0
s01,1,bc,50,5,7,0.66783,b,0
s01,1,ab,17,5,7,0.83486,a,0
s01,1,ab,17,1,7,0.50086,a,0
s01,1,ab,33,5,7,0.50089,a,0
s01,1,ab,50,5,7,0.53432,a,0
s01,1,ac,33,5,7,0.51759,a,0
s01,1,ac,17,7,7,0.4675,a,0
s01,1,bc,100,3,7,0.78476,c,0
s01,1,bc,0,3,7,0.53432,c,0
s01,1,ab,100,7,7,0.75135,b,0
s01,1,bc,100,1,7,0.9016,c,0
s01,1,ab,0,1,7,0.61777,a,0
s01,1,bc,50,1,7,0.56765,b,0
s01,1,ab,67,3,7,0.48425,b,0
s01,1,bc,83,7,7,0.75138,c,0
s01,1,bc,17,5,7,0.63448,c,0
s01,1,ac,50,1,7,1.0686,c,0
s01,1,bc,0,7,7,0.68459,b,0
s01,1,bc,17,1,7,0.50088,b,0
s01,1,bc,50,7,7,0.76805,c,0
s01,1,bc,67,5,7,0.5176,c,0
s01,1,ac,83,5,7,0.5177,c,0
s01,1,ac,67,3,7,0.76806,c,0
s01,1,ac,100,5,7,0.50087,c,0
s01,1,ac,50,7,7,0.48419,c,0
s01,1,bc,17,3,7,0.45094,b,0
s01,1,bc,0,1,7,0.45074,b,0
s01,1,ac,67,5,7,0.56766,c,0
s01,1,bc,33,3,7,0.43412,b,0
s01,1,ab,50,3,7,1.5361,c,1
s01,1,ab,67,7,7,0.46747,c,1
s01,1,ab,83,7,7,0.48427,c,1
s01,1,ab,17,7,7,0.55096,c,1
s01,1,bc,67,1,7,0.51763,b,0
s01,1,ac,0,1,7,0.63446,a,0
s01,1,ac,100,3,7,1.2355,c,0
s01,1,ab,33,3,7,0.81815,c,1
s01,1,bc,83,3,7,0.53422,c,0
s01,1,bc,83,1,7,0.53428,c,0
s01,1,ac,83,7,7,0.50089,c,0
s01,1,bc,100,5,7,0.60107,c,0
s01,1,ac,33,3,7,1.0518,c,0
s01,1,ab,0,5,7,0.76801,a,0
s01,1,ab,83,3,7,0.51759,b,0
s01,1,ac,33,7,7,0.53428,c,0
s01,1,bc,17,7,7,0.80143,b,0
s01,1,ac,50,3,7,0.95162,a,0
s01,1,ab,83,7,7,1.3858,c,1
s01,1,ab,50,1,7,1.0686,a,0
s01,1,ac,50,7,7,0.60109,c,0
s01,1,ac,100,7,7,0.55096,c,0
s01,1,ac,50,3,7,1.4359,c,0
s01,1,ac,50,5,7,0.56772,c,0
s01,1,ac,0,3,7,0.76805,a,0
s01,1,ac,100,3,7,0.80146,c,0
s01,1,ab,33,3,7,1.9535,a,0
s01,1,bc,83,7,7,0.51758,c,0
s01,1,bc,67,3,7,1.4192,c,0
s01,1,ac,100,1,7,1.4359,b,1
s01,1,ab,100,7,7,0.56766,b,0
s01,1,bc,100,1,7,0.71794,c,0
s01,1,bc,33,3,7,0.60109,b,0
s01,1,ac,50,1,7,1.5027,b,1
s01,1,ab,50,5,7,0.66785,b,0
s01,1,ab,33,7,7,1.3357,b,0
s01,1,ab,100,5,7,1.4025,b,0
s01,1,ac,0,1,7,0.65118,a,0
s01,1,bc,50,1,7,0.75136,b,0
s01,1,ab,100,1,7,0.50089,b,0
s01,1,ab,33,1,7,0.78477,a,0
s01,1,ab,67,3,7,0.63446,b,0
s01,1,ac,67,5,7,2.5879,b,1
s01,1,bc,33,1,7,0.46746,b,0
s01,1,bc,0,7,7,0.50086,b,0
s01,1,ab,17,1,7,0.66782,a,0
s01,1,ab,67,7,7,0.85157,b,0
s01,1,bc,17,3,7,0.48422,b,0
s01,1,ac,67,1,7,0.68454,a,0
s01,1,bc,100,3,7,0.58434,c,0
s01,1,ab,100,3,7,0.66782,b,0
s01,1,bc,0,3,7,0.5009,b,0
s01,1,bc,50,5,7,0.73466,c,0
s01,1,ab,83,5,7,0.66782,b,0
s01,1,ab,50,7,7,0.61783,a,0
s01,1,ac,67,3,7,0.65108,c,0
s01,1,ac,17,1,7,1.6697,c,0
s01,1,ab,0,7,7,0.98513,c,1
s01,1,bc,83,1,7,0.71799,c,0
s01,1,ab,17,7,7,1.0852,c,1
s01,1,ac,33,5,7,1.3691,c,0
s01,1,ab,0,1,7,0.70129,a,0
s01,1,ab,0,3,7,0.93497,c,1
s01,1,ac,33,1,7,1.5863,a,0
s01,1,ac,17,5,7,0.61778,a,0
s01,1,ab,33,5,7,0.5009,a,0
s01,1,bc,83,5,7,0.83487,c,0
s01,1,ac,83,1,7,0.7847,c,0
s01,1,ac,17,3,7,0.83504,a,0
s01,1,ac,0,7,7,0.68452,a,0
s01,1,ac,17,7,7,0.66786,a,0
s01,1,bc,50,3,7,0.60109,b,0
s01,1,ab,17,3,7,1.3858,a,0
s01,1,ab,83,1,7,0.78474,a,0
s01,1,ab,67,1,7,0.73461,a,0
s01,1,ac,100,5,7,0.88489,c,0
s01,1,ab,83,3,7,0.66791,b,0
s01,1,ac,33,3,7,1.6529,a,0
s01,1,ab,67,5,7,0.6345,c,1
s01,1,ab,17,5,7,0.86819,a,0
s01,1,bc,100,5,7,0.65121,c,0
s01,1,ab,50,3,7,1.8533,c,1
s01,1,bc,17,7,7,0.45104,c,0
s01,1,ac,67,7,7,0.55098,c,0
s01,1,bc,67,1,7,1.0519,b,0
s01,1,bc,17,1,7,0.56761,b,0
s01,1,ac,83,3,7,0.96835,c,0
s01,1,bc,33,5,7,1.0351,c,0
s01,1,bc,17,5,7,0.53422,c,0
s01,1,bc,0,1,7,0.56769,b,0
s01,1,bc,100,7,7,0.53428,c,0
s01,1,bc,50,7,7,0.60111,c,0
s01,1,ab,0,5,7,0.8348,a,0
s01,1,bc,67,5,7,0.65115,c,0
s01,1,bc,83,3,7,1.2523,c,0
s01,1,bc,0,5,7,2.0536,a,1
s01,1,ac,83,5,7,0.55099,c,0
s01,1,ac,0,5,7,0.60106,a,0
s01,1,bc,33,7,7,0.58442,c,0
s01,1,ac,83,7,7,0.58437,c,0
s01,1,bc,67,7,7,0.6011,c,0
s01,1,ac,33,7,7,1.2856,a,0
s01,1,ac,83,1,7,1.4192,c,0
s01,1,ab,67,5,7,0.73464,b,0
s01,1,ab,100,5,7,0.55095,b,0
s01,1,bc,33,1,7,0.53435,b,0
s01,1,bc,0,3,7,0.41742,b,0
s01,1,ac,33,7,7,0.83482,a,0
s01,1,bc,100,7,7,0.76803,a,1
s01,1,ab,33,1,7,0.68456,a,0
s01,1,ac,0,7,7,0.66784,a,0
s01,1,ac,17,1,7,0.55099,a,0
s01,1,ab,67,7,7,0.50093,a,0
s01,1,bc,17,1,7,0.71786,b,0
s01,1,bc,67,1,7,0.75133,b,0
s01,1,ac,17,3,7,0.78474,a,0
s01,1,bc,17,5,7,0.86823,b,0
s01,1,ac,33,5,7,0.65119,a,0
s01,1,bc,17,7,7,0.60112,b,0
s01,1,ac,33,1,7,0.70129,a,0
s01,1,bc,0,7,7,0.80139,b,0
s01,1,bc,17,3,7,0.56771,b,0
s01,1,bc,100,3,7,0.78471,c,0
s01,1,bc,83,3,7,0.50084,c,0
s01,1,ab,83,7,7,1.2522,a,0
s01,1,ac,100,7,7,0.78474,c,0
s01,1,ab,17,5,7,0.73465,a,0
s01,1,bc,83,1,7,0.56773,b,0
s01,1,bc,33,5,7,0.61779,b,0
s01,1,ac,0,3,7,0.68459,a,0
s01,1,bc,0,1,7,0.66783,b,0
s01,1,bc,100,1,7,1.0017,c,0
s01,1,bc,50,7,7,1.1854,b,0
s01,1,ac,100,3,7,0.75126,c,0
s01,1,ab,83,3,7,0.73461,b,0
s01,1,bc,0,5,7,0.68449,c,0
s01,1,bc,67,3,7,0.96836,b,0
s01,1,ac,33,3,7,0.95169,a,0
s01,1,ac,17,7,7,0.58443,a,0
s01,1,ab,0,1,7,0.55094,a,0
s01,1,bc,50,3,7,0.68458,b,0
s01,1,ac,100,1,7,1.0686,c,0
s01,1,ac,0,5,7,0.70129,a,0
s01,1,bc,50,5,7,0.65116,b,0
s01,1,bc,33,7,7,0.73468,b,0
s01,1,ab,100,1,7,0.60101,b,0
s01,1,ac,50,3,7,0.68455,c,0
s01,1,bc,83,5,7,0.56767,c,0
s01,1,ab,0,5,7,0.60107,b,0
s01,1,ab,67,3,7,0.65117,b,0
s01,1,ab,50,7,7,1.0686,c,1
s01,1,ac,67,1,7,0.56771,a,0
s01,1,ab,17,3,7,0.65112,a,0
s01,1,ac,83,5,7,0.65118,c,0
s01,1,ab,100,7,7,1.4192,c,1
s01,1,ab,33,3,7,0.76808,a,0
s01,1,ab,100,3,7,0.63447,b,0
s01,1,bc,33,3,7,1.1687,b,0
s01,1,bc,83,7,7,0.70124,c,0
s01,1,ab,33,5,7,0.80142,a,0
s01,1,ab,17,7,7,0.61779,a,0
s01,1,ac,17,5,7,0.55095,a,0
s01,1,bc,50,1,7,0.56766,b,0
s01,1,ac,50,7,7,0.58443,a,0
s01,1,ab,33,7,7,0.53428,a,0
s01,1,ab,17,1,7,0.53429,a,0
s01,1,ab,50,5,7,0.51764,a,0
s01,1,ac,0,1,7,0.50092,a,0
s01,1,ac,100,5,7,0.66791,c,0
s01,1,ac,67,3,7,0.50089,c,0
s01,1,ab,83,5,7,0.90163,b,0
s01,1,ab,0,7,7,0.66784,a,0
s01,1,ac,50,1,7,0.65118,a,0
s01,1,bc,67,5,7,0.58438,c,0
s01,1,ab,83,1,7,0.68457,b,0
s01,1,ac,83,3,7,1.4193,c,0
s01,1,bc,67,7,7,0.75139,b,0
s01,1,ac,67,5,7,0.61778,c,0
s01,1,ab,50,1,7,1.0686,a,0
s01,1,ab,0,3,7,0.58438,a,0
s01,1,ab,67,1,7,1.1688,b,0
s01,1,ac,50,5,7,0.68452,c,0
s01,1,bc,100,5,7,0.55097,c,0
s01,1,ab,50,3,7,2.5879,c,1
s01,1,ac,67,7,7,0.56769,c,0
s01,1,ac,83,7,7,0.56764,c,0
s01,1,bc,67,3,7,0.71795,b,0
s01,1,ac,100,5,7,0.80142,c,0
s01,1,ac,67,7,7,0.8181,a,0
s01,1,ac,17,3,7,0.60108,a,0
s01,1,bc,50,7,7,0.45076,c,0
s01,1,ab,17,1,7,0.63445,a,0
s01,1,ab,83,5,7,0.51762,b,0
s01,1,bc,100,7,7,1.1688,c,0
s01,1,ac,33,3,7,0.55107,c,0
s01,1,bc,50,3,7,0.56767,b,0
s01,1,bc,83,1,7,0.73464,c,0
s01,1,ab,67,7,7,0.55105,b,0
s01,1,bc,83,7,7,0.58438,c,0
s01,1,bc,0,7,7,0.56766,b,0
s01,1,ac,0,1,7,0.55101,a,0
s01,1,ab,33,3,7,0.56768,a,0
s01,1,ac,67,5,7,0.75135,b,1
